year,1,2,3,4,5,6,7,8,9,10
2007,195.0,266.0,235.0,278.0,305.0,320.0,383.0,373.0,397.0,443.0
2008,246.0,264.0,316.0,326.0,346.0,382.0,485.0,530.0,476.0,564.0
2009,300.0,349.0,378.0,437.0,460.0,466.0,617.0,599.0,596.0,657.0
2010,205.0,215.0,252.0,264.0,287.0,355.0,464.0,483.0,405.0,489.0
2011,187.0,186.0,276.0,270.0,348.0,375.0,440.0,480.0,457.0,488.0
2012,206.0,206.0,229.0,273.0,270.0,336.0,364.0,450.0,353.0,406.0
2013,222.0,254.0,278.0,288.0,322.0,432.0,417.0,528.0,427.0,463.0
2014,161.0,177.0,153.0,199.0,226.0,245.0,264.0,340.0,295.0,287.0
2015,188.0,211.0,221.0,243.0,285.0,354.0,388.0,449.0,421.0,447.0
2016,206.0,239.0,260.0,301.0,359.0,436.0,457.0,666.0,549.0,532.0
2017,152.0,174.0,185.0,231.0,243.0,305.0,319.0,526.0,358.0,429.0
2018,116.0,122.0,151.0,163.0,190.0,237.0,220.0,318.0,232.0,302.0
2019,170.0,198.0,198.0,241.0,268.0,319.0,381.0,384.0,397.0,357.0
2020,249.0,276.0,415.0,472.0,527.0,571.0,627.0,764.0,817.0,834.0
