year,1,2,3,4,5,6,7,8,9,10
2007,5275,6129,6788,7135,7882,8205,8929,9230,9520,10707
2008,5935,6628,7154,7730,8213,8628,9372,9524,10179,11351
2009,7196,8497,9152,10458,10889,11484,12450,12709,13254,15042
2010,5953,6694,7566,8462,8937,9241,10142,10431,10611,12481
2011,6175,7191,8104,8800,9259,9640,10387,10525,10921,12003
2012,5242,6102,6837,7722,7892,8499,9017,9262,9547,10878
2013,5607,6734,7301,8361,8663,8799,9672,9886,10120,11393
2014,3753,4476,4767,5624,5587,5982,6135,6262,6241,6897
2015,4219,5077,5859,6663,7187,7489,7821,8149,8168,9269
2016,4869,6059,7204,8378,9258,9503,10759,10579,10749,12845
2017,3792,4571,5474,6410,7063,7458,8363,8187,8541,9936
2018,3505,4181,4512,4967,5464,5710,6225,6300,6509,7100
2019,3864,4744,5305,5858,6630,7218,7895,7965,8128,9520
2020,8235,10206,11882,13454,15073,16079,17556,17851,18697,21236
