year,1,2,3,4,5,6,7,8,9,10
2007,9627,10092,7839,7159,7210,7149,7441,7568,7915,7800
2008,10389,10680,8233,7295,7359,7531,7874,8098,8585,8670
2009,13441,13793,10846,9954,9910,10184,10442,10396,11187,10978
2010,10800,11552,9040,8247,7909,8371,8486,8324,9024,8765
2011,9967,9958,8485,8612,8149,8905,9280,9592,10134,9923
2012,10086,9816,7615,7370,7164,7362,7759,7791,8188,7847
2013,9482,9769,8056,7903,7893,8194,8877,8683,9066,8613
2014,6697,6723,5212,5108,5059,5264,5509,5454,5578,5120
2015,8502,8635,6623,6442,6126,6673,6533,6761,7024,6582
2016,11301,11543,8421,7888,7942,8520,8698,8899,8983,8008
2017,9340,9199,6651,6163,6122,6506,6463,6740,6596,6015
2018,5956,6078,5045,5147,4990,5110,5365,5673,5881,5228
2019,6489,7024,5994,6050,6186,6529,6836,7524,7502,6993
2020,17484,16913,13725,13371,13242,14102,14488,15542,16025,15377
