year,1,2,3,4,5,6,7,8,9,10
2007,6045,6485,6962,7480,7859,8185,8401,8689,9501,10193
2008,6747,7371,7660,8127,8225,8611,8736,9011,9677,10549
2009,8212,8687,9645,10569,10681,11333,11741,12409,13202,14652
2010,6111,7240,7871,8575,8654,9470,9803,10278,10795,11721
2011,6345,7227,8093,8731,8966,9569,10137,10631,11601,11705
2012,5834,6385,7007,7551,8087,8545,8747,8981,9589,10272
2013,6233,6804,7633,8130,8743,9098,9199,9504,10435,10757
2014,4275,4600,4992,5474,5634,5649,5770,6010,6812,6508
2015,4792,5470,6093,6854,7305,7449,7568,7646,8527,8197
2016,5368,6395,7474,8504,9246,9843,10185,10254,11246,11688
2017,4072,4941,5745,6560,6832,7342,7823,8157,8720,9603
2018,3588,4003,4504,5048,5276,5670,5907,6152,7103,7222
2019,4081,4708,5302,6064,6127,7170,7481,8010,8845,9339
2020,8787,10680,12518,13891,14750,15597,16419,17795,18773,21059
