got_response,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
No,4831,2389,1359,921,1156,2422,6176,13726,23842,32953,37057,37435,35006,34491,33624,33679,34567,32657,29218,27542,25789,22345,16644,9841
Yes,3160,1673,982,700,698,1408,3440,7578,13755,20392,23841,24597,24091,23670,22283,21511,20416,18649,17275,16878,15701,13728,10191,5914
