gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,30201,34589,35806,37002,33891,30285,27689,26968,22699,22349
Male Representatives,93662,90200,85064,82012,78377,77938,78866,74956,76270,74745
