year,No,Yes
2007,27277.0,40655.0
2008,28479.0,43279.0
2009,37696.0,60214.0
2010,32942.0,42432.0
2011,31215.0,44800.0
2012,27179.0,37464.0
2013,30637.0,39139.0
2014,18967.0,23319.0
2015,26056.0,26362.0
2016,31572.0,32976.0
2017,26992.0,22374.0
2018,22575.0,17711.0
2019,26153.0,21266.0
2020,46418.0,51035.0
