year,1,2,3,4,5,6,7,8,9,10
2007,203.0,228.0,285.0,240.0,311.0,335.0,341.0,347.0,470.0,433.0
2008,230.0,215.0,329.0,320.0,333.0,422.0,469.0,468.0,613.0,538.0
2009,302.0,293.0,411.0,428.0,450.0,477.0,541.0,603.0,690.0,666.0
2010,207.0,181.0,247.0,283.0,317.0,317.0,435.0,462.0,483.0,489.0
2011,169.0,196.0,236.0,301.0,318.0,366.0,472.0,464.0,494.0,490.0
2012,195.0,205.0,223.0,261.0,287.0,328.0,447.0,397.0,333.0,416.0
2013,219.0,235.0,288.0,282.0,325.0,382.0,500.0,463.0,435.0,501.0
2014,153.0,173.0,156.0,205.0,222.0,221.0,339.0,308.0,271.0,297.0
2015,202.0,184.0,224.0,248.0,278.0,341.0,434.0,436.0,390.0,468.0
2016,201.0,212.0,290.0,283.0,347.0,408.0,611.0,521.0,561.0,570.0
2017,133.0,189.0,186.0,192.0,239.0,324.0,457.0,379.0,380.0,441.0
2018,100.0,125.0,166.0,136.0,186.0,215.0,293.0,270.0,251.0,308.0
2019,177.0,170.0,220.0,227.0,233.0,339.0,310.0,418.0,406.0,413.0
2020,276.0,319.0,347.0,418.0,522.0,617.0,671.0,700.0,783.0,897.0
