gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,21990,29999,36177,33857,31482,30984,30810,29287,28042,28851
Male Representatives,50848,56785,64606,76562,82869,91049,91308,95908,97878,104277
