year,1,2,3,4,5,6,7,8,9,10
2007,11794.0,9081.0,8261.0,8245.0,8343.0,8568.0,8385.0,8323.0,8404.0,8904.0
2008,12128.0,9925.0,8936.0,8788.0,8959.0,8877.0,8850.0,8962.0,9180.0,9984.0
2009,16100.0,12639.0,11364.0,11338.0,11547.0,12000.0,11873.0,11752.0,12082.0,13337.0
2010,13540.0,10594.0,9060.0,8864.0,9223.0,9332.0,9238.0,9388.0,9714.0,10857.0
2011,11170.0,9532.0,9343.0,9199.0,9897.0,9525.0,10267.0,10184.0,10904.0,12216.0
2012,11607.0,9226.0,8161.0,8166.0,8269.0,8331.0,8606.0,8580.0,9009.0,9502.0
2013,11189.0,9589.0,8939.0,8841.0,9047.0,9356.0,9142.0,9416.0,9765.0,11137.0
2014,7634.0,6432.0,6030.0,5676.0,5666.0,5826.0,5865.0,5955.0,6182.0,6763.0
2015,10540.0,8550.0,7531.0,7092.0,7352.0,7324.0,7394.0,7252.0,7433.0,9117.0
2016,14666.0,10294.0,8743.0,8561.0,8964.0,8842.0,9046.0,9330.0,9720.0,12178.0
2017,11376.0,8030.0,6824.0,6828.0,7120.0,7200.0,7111.0,7239.0,7598.0,9274.0
2018,6922.0,5755.0,5189.0,5617.0,5577.0,5825.0,5707.0,6067.0,6542.0,7492.0
2019,7985.0,6908.0,6351.0,6553.0,6481.0,6979.0,7228.0,7522.0,8250.0,10369.0
2020,21699.0,16195.0,14493.0,14639.0,15272.0,15522.0,15921.0,16628.0,17857.0,19958.0
