gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,20805,25971,31115,32171,34733,30188,33385,30371,29455,33285
Male Representatives,50323,57456,65746,73724,80005,87363,89542,98170,102535,107226
