gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,23605,25606,30089,33606,34270,34705,30524,29217,28299,31558
Male Representatives,53142,59819,65354,70776,74701,82171,89278,95736,108262,112851
