year,1,2,3,4,5,6,7,8,9,10
2007,17236,18037,17631,16604,15009,14065,13574,12891,12692,12149
2008,18283,17909,18544,17733,15497,13870,13352,12824,13000,12797
2009,23023,22628,22751,21832,19593,17946,16781,16285,15964,15204
2010,18389,17834,18345,17658,15126,14326,13387,13286,13174,12307
2011,21358,20483,20373,18071,16976,15571,15165,14772,14487,13636
2012,19404,18512,19059,17204,15712,14412,13669,14165,13173,12981
2013,19100,18359,18664,17896,16793,15881,15400,15499,14577,14375
2014,17094,17978,16768,15606,13952,12838,12331,11802,11424,11282
2015,18437,18552,18741,16609,15200,13920,13483,13011,12495,12018
2016,22107,20798,20732,19786,17511,15495,14918,14584,14434,14053
2017,15605,15547,14903,14665,13249,11547,11060,10264,10580,9842
2018,16424,15906,15453,14662,13999,12701,12031,10974,11114,10579
2019,15347,14500,14082,13736,12085,11486,10667,10464,10365,9616
2020,27874,27258,26688,24953,22209,19815,18857,18927,18391,17759
