gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,36379,41835,45803,49272,51824,56599,60573,64903,80665,125268
Male Representatives,82512,99682,111900,120900,134465,144250,156954,166881,190129,235012
