gender_of_sender,1,2,3,4,5,6,7,8,9,10
Female Sender,22952,13166,10469,11411,11257,11328,12517,13683,13533,13889
Male Sender,26827,13894,11911,12501,13221,13300,16270,15827,17358,18110
