gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,84770,74407,73577,67216,59317,53518,50665,49850,49009,50792
Male Representatives,162100,166307,165340,160075,147051,136621,131795,128238,126471,118687
