gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,48623,60413,67896,65901,68631,62431,61528,59503,57079,61116
Male Representatives,96889,115672,129523,141493,153810,153392,160407,158345,164297,168857
