year,1,2,3,4,5,6,7,8,9,10
2007,12695,14669,15683,16405,17279,18245,18371,18493,19096,20967
2008,14194,15972,17789,17518,17723,18913,18737,18713,19502,20397
2009,16707,18720,21337,22179,22474,23668,24261,24102,24637,26006
2010,13022,15466,16690,18161,18595,19552,19514,19563,20074,22470
2011,14111,16480,19204,20335,20769,21688,21216,21768,21888,23921
2012,15312,15945,17896,18993,19161,19367,19547,19365,20225,21426
2013,14592,16393,17455,19899,19936,20690,20873,21307,21414,23665
2014,11537,13795,16233,17691,17561,17994,18100,17871,17395,18692
2015,12403,15180,17045,18893,18670,20146,19998,19371,19156,21634
2016,12319,15684,19016,21120,21439,23047,22946,22408,21872,23864
2017,9775,12585,14627,15487,16253,16648,16727,17334,17399,19168
2018,10454,13420,14312,15763,16885,17401,17794,17355,17929,19264
2019,9271,11972,12667,14528,15607,16983,17191,17534,17570,19764
2020,15747,22742,25411,27811,28875,30276,31415,32423,33029,37258
