gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,3452,3014,2177,2791,2629,2509,2701,3090,2490,3680
Male Representatives,10563,8014,5810,5622,6317,5761,6190,7065,6814,8282
