type_of_recipient,1,2,3,4,5,6,7,8,9,10
AM (London),52401.0,17405.0,7170.0,3485.0,896.0,199.0,37.0,,36.0,
Councillors,87700.0,62433.0,52061.0,47431.0,41406.0,39613.0,37010.0,36061.0,32401.0,28705.0
Lords,10390.0,6303.0,5683.0,5683.0,5237.0,4579.0,5008.0,5070.0,4847.0,5721.0
MEP,69019.0,45042.0,40805.0,41855.0,39612.0,38680.0,37930.0,40753.0,38340.0,38205.0
MP,159591.0,116176.0,108507.0,113945.0,110590.0,110805.0,111873.0,114605.0,114454.0,123648.0
