gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,62951,69747,72587,72970,68806,63683,58843,53896,47088,42550
Male Representatives,159074,160366,156522,153080,147414,144283,141617,131898,129259,119172
