gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,2042,2115,2320,2479,2747,2791,3014,3544,3443,4030
Male Representatives,4763,4682,5382,5864,6429,7427,8099,9759,8607,9441
