answer_survey,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
No,21214,11832,6882,5315,4939,8353,19347,41871,76370,108034,126306,129113,128484,123284,117282,113043,111912,101850,93741,90662,88329,80463,61801,38622
Yes,10128,5115,2950,2076,2311,4662,11557,25849,46519,66378,76682,78183,74330,72549,70124,68580,67310,62505,56649,54229,50806,43950,32788,19187
