type_of_recipient,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
AM (London),5911,6698,8431,6213,5505,9729,6686,5099,5662,10635,6265,4847
AM (Northern Ireland),2942,3573,3481,3008,3156,3222,1827,1553,2538,4921,2841,2103
AM (Wales),1938,1961,2461,2034,1630,2492,2077,1708,1937,2871,1973,1780
Councillors,48083,48525,53256,51124,34627,53922,55191,45342,49826,49948,50814,40126
Lords,6860,7460,6965,4522,7916,5857,4973,3115,3735,5418,5644,4321
MEP,47500,39213,43574,50484,33208,37358,47686,22444,38300,45220,35846,45728
MP,107896,117624,124159,98780,97903,151435,118750,67865,92891,126272,130127,86477
MSP,7558,8856,10560,7086,11883,17445,7067,7763,8433,9716,11610,10471
