year,Urban,Rural,More Rural
2007,143421,14687,16994
2008,151133,15207,17490
2009,188615,19028,21198
2010,153979,15773,18428
2011,165729,17999,20400
2012,158495,16127,17859
2013,161258,18403,20871
2014,139502,14510,17397
2015,152264,16031,19139
2016,165278,18389,23630
2017,127687,13637,16773
2018,130759,14724,18313
2019,124605,14751,19308
2020,236628,25699,32348
