gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,5766,6284,6474,7330,7729,9193,9095,9986,10442,13404
Male Representatives,14028,14558,15146,17649,20421,23505,23491,26139,25714,33828
