year,1,2,3,4,5,6,7,8,9,10
2007,11478,13182,13796,14760,15947,15356,15877,15372,16469,17651
2008,12392,14085,15652,15791,15788,15319,16422,15503,16066,16791
2009,14653,16455,18534,19587,20643,20098,20252,19755,20279,21751
2010,11148,13657,14805,15613,16736,15628,16122,16339,16356,17428
2011,12240,14797,17007,17247,18415,17732,18154,18424,18155,18721
2012,12776,14083,15702,16339,16995,16461,16666,16280,16246,16743
2013,12455,13902,15624,16499,17998,17423,17664,17869,18325,18785
2014,9907,12494,13880,15196,15617,14776,15161,14575,14526,14943
2015,10822,13589,14792,15646,17098,16182,15958,15690,15973,16716
2016,10551,14573,16574,18140,19618,19093,19043,18932,18943,18951
2017,8367,10854,12505,13224,13818,14157,13706,13223,13623,13785
2018,9018,11507,12509,13799,14302,14365,14663,14253,14842,14585
2019,8093,10158,11288,12173,13299,13089,13818,13394,13622,13414
2020,13625,18902,21563,22439,24427,23865,23920,24127,24027,25836
