answer_survey,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
No,94277,104381,127387,108806,124135,123080,141248,118619,131938,136329,99407,114747,101519,183176
Yes,80825,79449,101454,79374,79993,69401,59284,52790,55496,70968,58690,49049,57145,111499
