year,Female,Male
2007,63883,92413
2008,64918,98401
2009,74781,126430
2010,67311,99473
2011,72670,108417
2012,68114,101433
2013,70290,108070
2014,68164,85501
2015,72779,94030
2016,86619,98728
2017,67657,72478
2018,66122,80233
2019,68941,72584
2020,144192,126038
