gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,68910,68565,70169,70860,66310,60394,56920,53506,50045,47442
Male Representatives,129787,134887,136932,144065,144406,145004,149755,153221,151529,153099
