gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,8963,8041,9104,9016,8906,8914,8472,8119,8703,7478
Male Representatives,21147,19014,20880,20343,21831,22365,21634,22319,23572,21436
