gender_of_sender,1,2,3,4,5,6,7,8,9,10
Female Sender,152228,96167,83463,81879,74450,73733,71934,74608,70700,73820
Male Sender,171133,117098,104819,107434,102867,101800,102503,104268,102176,105155
