gender_of_rep,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Female Representatives,8739,4812,2678,2133,2039,3677,8391,18426,33314,47438,55129,56749,55839,53618,51459,49221,48880,44723,41043,39289,37740,34166,26082,16143
Male Representatives,20255,10836,6419,4684,4671,8386,20144,44113,80369,114134,132574,134960,131739,127436,121838,118700,116690,107261,97978,94840,90806,80912,61394,37291
