type_of_recipient,1,2,3,4,5,6,7,8,9,10
AM (Wales),3383.0,2904.0,2029.0,2094.0,2321.0,1965.0,2253.0,2506.0,2263.0,3122.0
Councillors,1042.0,1381.0,1631.0,2016.0,1813.0,1745.0,1811.0,2249.0,1872.0,2520.0
Lords,524.0,345.0,197.0,231.0,205.0,211.0,299.0,256.0,267.0,258.0
MEP,2704.0,1635.0,1106.0,1109.0,1168.0,1109.0,1311.0,1341.0,1130.0,1380.0
MP,7804.0,5687.0,3794.0,3773.0,4365.0,4052.0,4156.0,4791.0,4650.0,5563.0
