gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,5455,6142,6813,7474,7606,7858,9186,9134,11356,14623
Male Representatives,12852,15088,15804,18141,18787,20332,23776,24900,28359,36369
