gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,82652,96411,85961,68388,57751,49853,47075,43363,41327,40340
Male Representatives,168578,171653,165376,154353,143841,135133,131099,125531,125353,121768
