year,1,2,3,4,5,6,7,8,9,10
2007,952,987,1079,1190,1298,1452,1689,1926,2136,2185
2008,1142,1198,1363,1466,1479,1712,2067,2045,2125,2495
2009,1518,1506,1803,1810,2364,2179,2527,2489,2760,3024
2010,1517,1387,1637,1823,2156,2243,2428,2582,3015,3338
2011,1710,1468,1875,1849,2207,2409,2571,2555,2975,2983
2012,2117,1548,1589,1611,2039,2006,2332,2536,2636,2907
2013,1673,1549,2077,1783,1885,2004,2458,2301,2567,3063
2014,1325,1276,1599,1603,1651,2003,2120,2235,2641,2619
2015,1417,1471,1733,1742,2150,2310,2655,2681,3077,3412
2016,1275,1264,1626,1649,1834,2205,2354,2431,2843,3643
2017,1513,1488,1664,1858,1799,2050,2576,2862,3160,3783
2018,1476,1435,1385,1595,1610,2348,2419,2520,2418,2721
2019,1264,1491,1434,1797,2053,2723,3302,3335,3530,3976
2020,2834,3041,3497,3887,4389,5665,6131,6689,6945,8461
