gender_of_sender,1,2,3,4,5,6,7,8,9,10
Female Sender,5114,4069,4279,3632,3866,3945,4303,3870,4097,3772
Male Sender,6462,5426,5728,4866,5699,5098,5601,4970,5417,7240
