year,No,Yes
2007,38898.0,50018.0
2008,38570.0,52362.0
2009,49378.0,69306.0
2010,43187.0,50944.0
2011,41259.0,53877.0
2012,36984.0,47297.0
2013,38622.0,46101.0
2014,27745.0,31088.0
2015,32036.0,31278.0
2016,40393.0,39072.0
2017,35290.0,28113.0
2018,29888.0,22912.0
2019,33504.0,26596.0
2020,56776.0,60309.0
