gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,54312,69178,77006,77789,76219,78483,77368,76319,73927,80092
Male Representatives,118587,134235,148001,165687,180636,193417,196829,198182,205285,225575
