gender_of_sender,1,2,3,4,5,6,7,8,9,10
Female Sender,6096,3880,3465,3476,3638,3415,3737,4596,3851,4767
Male Sender,7718,6999,4418,4632,5175,4757,5052,5525,5341,6890
