type_of_recipient,1,2,3,4,5,6,7,8,9,10
AM (London),1396.0,10485.0,14678.0,12681.0,9874.0,9963.0,7611.0,6516.0,6032.0,2393.0
Councillors,45761.0,51455.0,54380.0,52039.0,47926.0,47126.0,43271.0,43281.0,41653.0,37929.0
Lords,3671.0,4601.0,5567.0,5973.0,6405.0,6786.0,6376.0,6246.0,6458.0,6438.0
MEP,24634.0,31629.0,39837.0,44497.0,46466.0,49671.0,48119.0,47648.0,47617.0,50123.0
MP,76753.0,92386.0,107640.0,118204.0,123448.0,129615.0,129640.0,132087.0,133566.0,140855.0
