year,1,2,3,4,5,6,7,8,9,10
2007,10815,12264,13524,14076,15062,15483,15820,16678,16919,19247
2008,11719,13214,14525,15088,15791,15352,16483,16495,17163,17979
2009,13692,15336,17683,18784,19059,20695,20073,21798,21316,23571
2010,10498,12136,14397,15519,15582,15545,16671,17144,17471,18869
2011,11447,13697,15962,16692,18079,18291,18227,18887,19638,19972
2012,11932,13387,15025,15292,16805,17380,16702,17044,17073,17651
2013,12059,13338,15114,16424,17201,18479,17310,18150,18365,20104
2014,9430,11160,13267,14565,15003,15540,14992,15527,15419,16172
2015,9906,12003,14378,15176,16383,16885,16209,16762,16437,18327
2016,10141,12743,15599,17627,18669,18920,19885,19857,19744,21233
2017,7812,9502,11774,12702,13754,13545,14047,13922,14613,15591
2018,8329,10803,12214,13097,14190,14134,14628,15106,15576,15766
2019,7555,9541,11114,11755,12581,13066,13475,13678,14715,14868
2020,12171,16752,19884,22776,23537,23781,24464,24858,25640,28868
