type_of_recipient,1,2,3,4,5,6,7,8,9,10
Councillors,6630.0,7646.0,7375.0,7801.0,7591.0,7499.0,8383.0,8483.0,10317.0,14258.0
Lords,262.0,253.0,285.0,261.0,366.0,373.0,467.0,451.0,490.0,703.0
MEP,2339.0,2434.0,2845.0,3392.0,3367.0,4025.0,4392.0,4675.0,5331.0,6152.0
MP,4058.0,4874.0,5174.0,6310.0,6872.0,7664.0,8608.0,9457.0,10083.0,12945.0
MSP,6103.0,7416.0,8536.0,9776.0,10169.0,11071.0,13725.0,14020.0,16410.0,21004.0
