type_of_recipient,1,2,3,4,5,6,7,8,9,10
AM (Wales),1685.0,1794.0,2038.0,2319.0,2631.0,2389.0,2660.0,3316.0,2709.0,3309.0
Councillors,1940.0,1894.0,1681.0,1725.0,1808.0,1456.0,1444.0,1751.0,1996.0,2388.0
Lords,157.0,169.0,205.0,265.0,356.0,306.0,331.0,433.0,254.0,317.0
MEP,768.0,881.0,1207.0,1292.0,1599.0,1606.0,1716.0,1758.0,1572.0,1602.0
MP,2657.0,3275.0,3797.0,4312.0,5086.0,5559.0,5855.0,6461.0,5401.0,6233.0
