type_of_recipient,No,Yes
AM (London),77787,3894
AM (Northern Ireland),31556,3609
AM (Wales),19931,4931
Councillors,482119,98665
Lords,31823,34963
MEP,461424,25137
MP,507978,812201
MSP,96431,22017
