year,1,2,3,4,5,6,7,8,9,10
2007,910.0,987.0,933.0,1218.0,1415.0,1301.0,1751.0,1948.0,1977.0,2454.0
2008,1207.0,1306.0,1121.0,1375.0,1622.0,1661.0,1706.0,2107.0,2273.0,2713.0
2009,1337.0,1670.0,1654.0,1981.0,2146.0,2256.0,2295.0,2583.0,2770.0,3280.0
2010,1345.0,1572.0,1448.0,1984.0,1927.0,2520.0,1955.0,2590.0,2884.0,3896.0
2011,1700.0,1582.0,1612.0,2046.0,2292.0,2299.0,2198.0,2648.0,2745.0,3478.0
2012,2123.0,1585.0,1361.0,1734.0,2018.0,2177.0,2232.0,2364.0,2443.0,3269.0
2013,1773.0,1556.0,1628.0,2066.0,1961.0,2031.0,2116.0,2387.0,2444.0,3395.0
2014,1361.0,1334.0,1370.0,1646.0,1566.0,2090.0,2125.0,2090.0,2693.0,2797.0
2015,1435.0,1550.0,1426.0,1965.0,1906.0,2270.0,2547.0,2683.0,3106.0,3759.0
2016,1280.0,1313.0,1366.0,1818.0,1807.0,2037.0,2175.0,2258.0,3197.0,3873.0
2017,1449.0,1617.0,1429.0,1945.0,1911.0,2185.0,2378.0,2548.0,3094.0,4196.0
2018,1426.0,1427.0,1387.0,1596.0,1824.0,1913.0,2294.0,2530.0,2606.0,2914.0
2019,1231.0,1553.0,1249.0,1785.0,1956.0,2855.0,2771.0,3412.0,3505.0,4584.0
2020,3009.0,2967.0,3122.0,4191.0,4635.0,5035.0,6046.0,6186.0,7184.0,9160.0
