type_of_recipient,No,Yes
AM (London),2125,1769
AM (Northern Ireland),1910,1699
AM (Wales),2751,2180
Councillors,45458,53207
Lords,24241,10722
MEP,16424,8713
MP,499670,312531
MSP,13410,8607
