year,1,2,3,4,5,6,7,8,9,10
2007,11352,11898,13399,13911,14695,15639,15504,16435,17464,19591
2008,12114,13263,14737,14712,15259,15960,15466,16452,17017,18829
2009,14409,15481,16367,18421,18966,19952,20294,20786,21842,25489
2010,10763,12680,13807,14964,14949,15779,16589,17120,17326,19855
2011,11922,13278,15471,16533,17228,17665,18031,19197,19851,21716
2012,12164,13001,14245,15524,15973,16896,16609,17287,18005,18587
2013,12614,13400,15102,15875,16698,17103,17391,18286,19405,20670
2014,10015,10893,13292,14322,14220,14857,15072,15132,16567,16705
2015,10529,11750,13830,14943,16010,16034,15888,17063,17817,18602
2016,11036,12607,14940,17228,18210,19099,19165,19572,20871,21690
2017,8341,9294,10929,12793,12993,13392,14186,14193,14666,16475
2018,8954,10045,11624,12908,13305,13856,14448,15010,16155,17538
2019,7819,8983,10050,11898,11501,12991,13364,13842,15175,16725
2020,13540,16327,19507,21952,22478,23395,23867,25557,26137,29971
