year,1,2,3,4,5,6,7,8,9,10
2007,2614,1169,1167,1094,1236,1174,1504,1549,1679,1708
2008,3247,1418,1267,1344,1321,1508,1685,1846,1668,1788
2009,3525,1929,1807,1986,2047,1914,2166,2016,2420,2170
2010,4185,2189,1796,1929,1716,1736,2001,2196,2106,2272
2011,3977,2077,1760,1911,1930,1800,2387,2036,2137,2587
2012,3821,2460,1803,1748,1600,1820,1942,1913,1965,2249
2013,3469,2286,1596,1778,1726,1902,2073,2114,2177,2239
2014,3676,1716,1387,1526,1773,1628,1837,1830,1756,1943
2015,4156,2116,1841,1882,1879,1770,2192,2246,2143,2423
2016,3911,1743,1536,1503,1805,1802,2041,2211,2231,2341
2017,3405,2017,1749,1734,1887,1895,2095,2539,2754,2678
2018,3191,2001,1360,1643,1707,1863,1982,1851,2232,2097
2019,3633,2322,1643,2154,2115,2256,2474,2901,2740,2667
2020,9592,4308,4012,3954,4251,4114,4869,5434,5488,5517
