got_response,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
No,6064,2995,1719,1183,1398,2885,7277,16292,28635,40012,45316,46052,42989,42024,41353,41016,41594,39214,35023,33069,31096,26863,20073,11847
Yes,4064,2120,1231,893,913,1777,4280,9557,17884,26366,31366,32131,31341,30525,28771,27564,25716,23291,21626,21160,19710,17087,12715,7340
