gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,4151,2472,2543,2550,2194,3091,2378,3060,3111,2987
Male Representatives,9208,7227,6527,6499,5878,7406,6006,6753,7420,7522
