year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2007,9217,12815,22609,11779,15134,11929,13000,11181,18294,14304,19433,15407
2008,16639,15691,18607,17298,13474,14140,17878,11533,13954,15277,13965,15374
2009,30418,17195,21547,46250,21021,13377,14588,11356,10191,16831,14554,11513
2010,15118,15808,23069,9589,12553,16965,16013,12278,13400,15144,21399,16844
2011,19644,26430,16835,13691,13409,14849,14068,13958,16226,29616,15353,10049
2012,17594,24185,19370,15367,10585,16295,13409,11868,13301,18420,18616,13471
2013,17535,20569,16088,14629,13673,16725,18810,12130,16913,17457,12790,23213
2014,11195,16586,13637,16886,10387,8337,16449,12722,12999,27712,15505,8994
2015,14788,14492,11407,5056,8587,20392,42945,6646,21261,13534,15804,12522
2016,10739,17269,12634,20872,14152,24974,24178,9558,9553,19127,26375,17866
2017,18947,22112,16095,9244,5519,14810,9529,7089,13046,15091,17272,9343
2018,20718,8614,11558,10130,7896,13556,13626,8133,14752,13882,18215,22716
2019,12051,12697,22169,15646,14414,19137,12023,12556,10756,18549,4860,3806
2020,14085,9447,27262,16814,35024,75974,17741,13881,18676,20057,30979,14735
