gender_of_sender,1,2,3,4,5,6,7,8,9,10
Female Sender,106844,115228,108386,94527,83557,75851,72247,68414,65750,62178
Male Sender,135550,140772,132006,117243,108219,100795,99023,93616,96044,95985
