answer_survey,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
No,140742,141464,157262,142335,117381,177899,154320,98912,135351,161992,152155,129236
Yes,87946,92446,95625,80916,78447,103561,89937,55977,67971,93009,92965,66617
