gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,5929,6326,5866,7695,7841,8621,8969,9512,11034,13905
Male Representatives,14647,14284,13826,17848,19180,21749,22952,25858,28506,35656
