type_of_recipient,A1,B1,C1,C2,D1,D2,E1,E2
AM (London),81221.0,,322.0,,14.0,,72.0,
AM (Wales),,,15552.0,405.0,2736.0,934.0,2723.0,2500.0
Councillors,233222.0,16453.0,181619.0,681.0,27092.0,1139.0,20777.0,1922.0
Lords,22887.0,1519.0,25229.0,208.0,5036.0,284.0,5314.0,837.0
MEP,165236.0,9647.0,179993.0,969.0,37975.0,2087.0,43030.0,5305.0
MP,426515.0,34979.0,523354.0,2907.0,114374.0,6511.0,109377.0,14834.0
