gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,53557,68656,77659,78900,73811,75602,74894,74337,72215,77748
Male Representatives,116279,132540,147328,164130,174914,187933,191325,194147,199305,219788
