year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2007,2242,1150,628,358,424,745,1594,3374,7312,10882,13716,13497,13732,13378,13038,12169,11795,10223,9079,9100,8939,7790,5981,3956
2008,2412,1286,798,440,477,714,1649,3878,8414,12417,14674,15147,15164,14553,13443,12192,11220,10198,8854,8775,8600,8048,6176,4301
2009,2889,1631,833,597,632,1011,2680,5937,10208,16115,19164,18894,17478,16732,15706,14555,13709,12678,11847,11485,11012,9905,7970,5173
2010,2487,1376,718,429,407,670,1496,3574,7820,11819,14724,15386,14670,13687,13494,12723,12218,11103,9832,9798,9548,9080,6884,4237
2011,2308,1272,628,462,472,797,1719,4397,9171,13181,15622,16055,16125,15030,14909,14591,13417,11711,11124,10343,10611,9081,6909,4193
2012,2401,1313,756,515,433,734,1653,3696,7344,11461,13756,15259,15269,14574,13600,13005,13056,11363,10826,10710,10415,8954,7028,4360
2013,2517,1400,743,621,567,888,2063,4872,8326,11717,14389,14016,13930,12981,13048,13884,14504,14179,11992,11346,10724,10080,7380,4365
2014,2041,1028,561,496,403,713,1805,3917,6872,10182,11943,12792,12651,11979,12435,11617,10969,9885,10288,10175,9990,8717,6395,3555
2015,2350,1389,871,702,586,1012,2542,5252,9534,12047,12733,13508,12551,12350,11429,12384,11329,11263,10429,10915,10317,9558,7613,4770
2016,2359,1223,739,645,688,1311,3016,5837,9710,13701,15048,14568,14177,16180,15128,14046,13992,12055,11172,10924,10148,9176,7009,4445
2017,1617,860,616,618,452,832,2134,4655,7766,10616,11857,12155,12016,10958,10581,10548,9786,9584,8765,8134,7944,7180,5312,3111
2018,1685,940,577,509,587,1034,2090,4457,7677,10190,11956,10989,11252,11190,10209,10265,12685,10942,10046,9112,8710,7408,5798,3488
2019,1429,723,518,376,489,1092,2574,5339,8478,10558,11077,11121,10712,9965,9727,10169,10926,11015,9800,9051,8201,7380,5131,2813
2020,2605,1356,846,623,633,1462,3889,8535,14257,19526,22329,23909,23087,22276,20659,19475,19616,18156,16336,15023,13976,12056,9003,5042
