gender_of_rep,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Female Representatives,39533,41955,52153,47284,51043,49097,50642,48414,56687,62543,48410,50640,49466,93861
Male Representatives,123896,129762,162535,130317,141215,131764,138773,111447,114590,126148,95523,96723,93814,171923
