year,1,2,3,4,5,6,7,8,9,10
2007,14852,14809,15190,15660,15304,15079,14898,15106,14524,14466
2008,15859,16122,16494,15992,15832,14972,15542,14833,14196,13967
2009,19152,18975,19619,20174,20387,19133,19231,19058,18190,18088
2010,15635,15742,15885,16370,15592,14861,15348,15176,14598,14625
2011,16243,17349,17102,17784,17490,17072,16731,17142,16928,17051
2012,16059,16093,16737,16767,16485,16158,15174,15419,14687,14712
2013,15999,15994,16311,17095,16570,16427,17001,17267,16957,16923
2014,14197,14425,14518,15586,14276,14140,13997,13241,13433,13262
2015,15097,15893,15922,15984,15828,15064,14921,14840,14552,14365
2016,16504,17166,17738,18064,17939,17175,17645,17312,17289,17586
2017,12474,12795,12856,13498,13088,12537,13294,12599,12326,11795
2018,12448,12899,13132,14121,13525,13494,13504,13993,13698,13029
2019,10912,11869,11878,12502,12880,12215,12736,12574,12318,12464
2020,20620,22894,22462,23183,23325,22537,22468,22205,21711,21326
