gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,1963,2240,2535,2328,2686,2865,3508,3298,3373,3729
Male Representatives,4573,5148,5838,5708,6684,6828,8512,9656,8431,9075
