gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,5763,6338,6581,7306,7886,9078,9720,10643,10864,11537
Male Representatives,14030,14845,15058,18056,19325,22995,25798,27721,27602,29111
