gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,45253,60757,71618,69605,64742,64942,62077,59806,57703,56618
Male Representatives,96465,114010,131718,144628,149976,160656,156458,160748,162046,165980
